출판사,대출건수합계,평균대출건수,도서수
아르케,912,5.241379310344827,174
새물결,912,11.121951219512194,82
사월의책,911,9.589473684210526,95
침묵의 향기,911,19.382978723404257,47
글로벌,910,11.375,80
예가,910,12.63888888888889,72
아인스엠앤엠(구 태원),909,23.92105263157895,38
해시태그(Hashtag),908,13.96923076923077,65
행성비,908,13.159420289855072,69
㈜소미미디어,905,10.647058823529411,85
미래를소유한사람들,905,10.773809523809524,84
씨엘북스,904,25.82857142857143,35
나무의철학,902,15.824561403508772,57
삼각형프레스,901,6.723880597014926,134
푸르메,900,16.666666666666668,54
맛있는책,900,20.454545454545453,44
인플루엔셜(주),900,12.0,75
京文社,898,7.946902654867257,113
Digital Books(디지털북스),897,16.30909090909091,55
고래이야기,897,15.46551724137931,58
고려문화사,896,12.985507246376812,69
신아출판사,896,3.6129032258064515,248
Arte(아르테),895,8.77450980392157,102
지구문화사,895,6.67910447761194,134
더클래식,895,10.0561797752809,89
책비,894,13.753846153846155,65
현북스,893,9.706521739130435,92
토마토하우스,891,14.142857142857142,63
한국투자교육연구소 부크홀릭,891,55.6875,16
구민사,889,9.071428571428571,98
예원미디어,888,15.05084745762712,59
재원,887,9.336842105263157,95
머니플러스,887,15.56140350877193,57
다온북스,886,12.305555555555555,72
서정시학,881,2.7445482866043616,321
삐아제어린이,881,21.48780487804878,41
써네스트,881,8.637254901960784,102
북이십일 아울북,880,20.952380952380953,42
메디치,880,11.428571428571429,77
열대림,879,13.734375,64
천년의상상,879,9.876404494382022,89
대한미디어,878,7.701754385964913,114
큰북작은북,877,12.352112676056338,71
일출봉,877,18.659574468085108,47
황소걸음,877,10.080459770114942,87
미래문화사,876,3.6962025316455698,237
전파과학사,876,3.65,240
지학사,876,11.23076923076923,78
현대미학사,875,5.401234567901234,162
미디어허브,874,6.154929577464789,142
북라인,873,21.825,40
백산서당,872,3.9817351598173514,219
키출판사,866,11.863013698630137,73
시공문화사,865,8.398058252427184,103
노란상상,864,11.076923076923077,78
좋은씨앗,863,11.662162162162161,74
안전가옥,862,7.628318584070796,113
리즈앤북,861,14.114754098360656,61
참돌,860,17.916666666666668,48
위닝북스,860,10.36144578313253,83
늘봄,859,11.767123287671232,73
동화기술,855,5.3105590062111805,161
페이퍼북,855,19.88372093023256,43
파워북,854,10.166666666666666,84
동녘사이언스,854,19.86046511627907,43
白山出版社,853,5.017647058823529,170
동북아역사재단,853,3.0035211267605635,284
엘까미노,850,31.48148148148148,27
청솔,849,13.918032786885245,61
윈타임즈,848,19.272727272727273,44
예문당,848,8.0,106
동아사이언스,848,11.157894736842104,76
눈과 마음,848,23.555555555555557,36
신서원,847,4.705555555555556,180
너머북스,846,10.846153846153847,78
마젤란,846,17.625,48
너와나미디어,845,36.73913043478261,23
한뜻출판사,843,14.53448275862069,58
아카데미서적,842,3.9716981132075473,212
새문사,839,7.170940170940171,117
산처럼,839,11.186666666666667,75
루비페이퍼,839,14.719298245614034,57
기전연구사,838,6.925619834710743,121
디스커버리미디어,838,16.115384615384617,52
한국소설가협회,837,10.87012987012987,77
담앤북스,834,7.446428571428571,112
함께읽는책,833,10.283950617283951,81
고즈넉이엔티,832,7.111111111111111,117
JRC북스,831,31.96153846153846,26
명지출판사,831,6.811475409836065,122
悅話堂,831,8.65625,96
조윤커뮤니케이션,831,20.775,40
일송북,829,12.56060606060606,66
Arte(북이십일 아르테),828,12.0,69
두레미디어,828,25.09090909090909,33
눈빛출판사,828,9.627906976744185,86
홍,826,9.604651162790697,86
난다,826,5.736111111111111,144
살림어린이,825,25.78125,32
한국방송통신대학교출판부,820,13.442622950819672,61
EBS BOOKS,820,9.425287356321839,87
전원문화사,819,9.635294117647058,85
북카라반,816,8.680851063829786,94
평단,815,14.298245614035087,57
영화조세통람,814,9.576470588235294,85
영교출판,814,14.535714285714286,56
세종출판사,812,3.2222222222222223,252
끌리는책,807,11.695652173913043,69
비비컴,807,14.410714285714286,56
글누림출판사,803,5.904411764705882,136
동일출판사,802,9.01123595505618,89
서사원,802,7.9405940594059405,101
애플북스,801,8.802197802197803,91
한경사,798,8.76923076923077,91
재승출판,798,10.5,76
청어람주니어,797,11.895522388059701,67
솔로몬,797,13.283333333333333,60
고려대학교출판부,795,4.568965517241379,174
지앤선,794,15.88,50
휴먼어린이,793,12.015151515151516,66
아고라,793,18.022727272727273,44
홍경,792,7.071428571428571,112
민중출판사,791,17.195652173913043,46
한국외국어대학교출판부 지식출판원(HUINE),790,14.107142857142858,56
북웨이,790,28.214285714285715,28
청홍,789,15.78,50
더디퍼런스,789,9.068965517241379,87
